,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN,DEST,TOTAL_PASSENGER
0,10005,11630,05A,FAI,122
1,10006,10170,06A,ADQ,8
2,10011,10011,1G4,1G4,9999
3,10011,10661,1G4,BLD,24757
4,10011,11399,1G4,DQS,4
5,10011,11869,1G4,GCN,45
6,10011,12745,1G4,KNB,0
7,10011,14081,1G4,PGA,0
8,10015,10170,A02,ADQ,18
9,10016,12184,A03,HOM,7
10,10030,10170,A17,ADQ,2
11,10033,10299,A20,ANC,0
12,10033,11555,A20,ENA,0
13,10033,14709,A20,SCC,0
14,10039,10299,A26,ANC,0
15,10039,11630,A26,FAI,0
16,10040,11630,A27,FAI,1
17,10041,10170,A28,ADQ,2
18,10042,10056,A29,A43,7
19,10042,10170,A29,ADQ,71
20,10056,10042,A43,A29,4
21,10056,10056,A43,A43,1
22,10056,10170,A43,ADQ,4
23,10056,10278,A43,ALZ,0
24,10056,11299,A43,DGB,3
25,10056,12705,A43,KKB,3
26,10056,12782,A43,KPR,1
27,10056,12785,A43,KPY,0
28,10056,12854,A43,KWP,0
29,10056,12869,A43,KZB,3
30,10056,15091,A43,SYB,5
31,10056,15446,A43,UGI,3
32,10065,12184,A52,HOM,15
33,10076,11630,A63,FAI,36
34,10085,12184,A72,HOM,2
35,10122,15249,AAF,TLH,0
36,10135,10135,ABE,ABE,0
37,10135,10397,ABE,ATL,71238
38,10135,10431,ABE,AVL,1
39,10135,10434,ABE,AVP,1
40,10135,10590,ABE,IFP,394
41,10135,10599,ABE,BHM,4
42,10135,10821,ABE,BWI,86
43,10135,10994,ABE,CHS,8
44,10135,11042,ABE,CLE,64
45,10135,11057,ABE,CLT,46145
46,10135,11193,ABE,CVG,0
47,10135,11292,ABE,DEN,0
48,10135,11433,ABE,DTW,38832
49,10135,11618,ABE,EWR,182
50,10135,11823,ABE,FWA,1
51,10135,11973,ABE,GPT,523
52,10135,11995,ABE,GSO,1
53,10135,11996,ABE,GSP,10
54,10135,12197,ABE,HPN,129
55,10135,12222,ABE,HTO,2
56,10135,12324,ABE,ILN,0
57,10135,12339,ABE,IND,0
58,10135,12478,ABE,JFK,0
59,10135,12889,ABE,LAS,118
60,10135,12917,ABE,LCK,0
61,10135,12953,ABE,LGA,22
62,10135,13204,ABE,MCO,157
63,10135,13244,ABE,MEM,0
64,10135,13360,ABE,MLB,1
65,10135,13577,ABE,MYR,10223
66,10135,13796,ABE,OAK,0
67,10135,13891,ABE,ONT,0
68,10135,13930,ABE,ORD,34118
69,10135,14082,ABE,PGD,22129
70,10135,14100,ABE,PHL,27072
71,10135,14112,ABE,PIE,21380
72,10135,14512,ABE,RFD,0
73,10135,14553,ABE,RME,0
74,10135,14716,ABE,SCK,0
75,10135,14730,ABE,SDF,0
76,10135,14761,ABE,SFB,49963
77,10135,15167,ABE,TEB,3
78,10135,15304,ABE,TPA,0
79,10135,15502,ABE,UTM,204
80,10135,15842,ABE,WRI,0
81,10136,10155,ABI,ACT,35
82,10136,10329,ABI,APF,1
83,10136,10590,ABI,IFP,447
84,10136,10817,ABI,BWD,0
85,10136,11109,ABI,COS,136
86,10136,11298,ABI,DFW,82324
87,10136,11563,ABI,ENV,588
88,10136,11719,ABI,FNL,110
89,10136,12896,ABI,LBB,130
90,10136,13158,ABI,MAF,60
91,10136,13303,ABI,MIA,0
92,10136,13342,ABI,MKE,0
93,10136,13476,ABI,MRY,1
94,10136,13851,ABI,OKC,155
95,10136,14057,ABI,PDX,86
96,10139,11411,ABL,DRG,0
97,10139,12268,ABL,IAN,22
98,10139,12844,ABL,KVL,8
99,10139,13806,ABL,OBU,98
100,10139,13873,ABL,OME,4
101,10139,13942,ABL,ORV,47
102,10139,13970,ABL,OTZ,1584
103,10139,14485,ABL,RDB,48
104,10139,14804,ABL,SHG,179
105,10139,15478,ABL,UNK,0
106,10139,15785,ABL,WLK,96
107,10139,15861,ABL,WTK,9
108,10140,10185,ABQ,AEX,0
109,10140,10257,ABQ,ALB,59
110,10140,10272,ABQ,ALS,216
111,10140,10279,ABQ,AMA,45
112,10140,10397,ABQ,ATL,138951
113,10140,10423,ABQ,AUS,12079
114,10140,10529,ABQ,BDL,17
115,10140,10590,ABQ,IFP,833
116,10140,10599,ABQ,BHM,492
117,10140,10693,ABQ,BNA,630
118,10140,10713,ABQ,BOI,473
119,10140,10721,ABQ,BOS,1290
120,10140,10792,ABQ,BUF,165
121,10140,10800,ABQ,BUR,2314
122,10140,10821,ABQ,BWI,75429
123,10140,10994,ABQ,CHS,142
124,10140,11042,ABQ,CLE,157
125,10140,11057,ABQ,CLT,690
126,10140,11066,ABQ,CMH,121
127,10140,11085,ABQ,CNM,1411
128,10140,11140,ABQ,CRP,199
129,10140,11233,ABQ,CYS,0
130,10140,11259,ABQ,DAL,158905
131,10140,11267,ABQ,DAY,18
132,10140,11278,ABQ,DCA,5226
133,10140,11292,ABQ,DEN,216768
134,10140,11298,ABQ,DFW,254525
135,10140,11413,ABQ,DRO,0
